Timestamp,Adjusted_Close,Popularity,Increment_A_C,Increment_P
2017-12-29,1169.47,0.0,0.0,
2018-01-01,1169.47,82.0,0.0,82.0
2018-01-02,1189.01,100.0,19.539999999999964,18.0
2018-01-03,1204.2,95.0,15.190000000000055,-5.0
2018-01-04,1209.59,81.0,5.389999999999873,-14.0
2018-01-05,1229.14,67.0,19.550000000000182,-14.0
2018-01-06,1229.14,75.0,0.0,8.0
2018-01-07,1229.14,84.0,0.0,9.0
2018-01-08,1246.87,76.0,17.72999999999979,-8.0
2018-01-09,1252.7,75.0,5.830000000000155,-1.0
2018-01-10,1254.33,70.0,1.6299999999998818,-5.0
2018-01-11,1276.68,69.0,22.350000000000136,-1.0
2018-01-12,1305.2,66.0,28.519999999999982,-3.0
2018-01-13,1305.2,64.0,0.0,-2.0
2018-01-14,1305.2,70.0,0.0,6.0
2018-01-15,1305.2,66.0,0.0,-4.0
2018-01-16,1304.86,64.0,-0.3400000000001455,-2.0
2018-01-17,1295.0,66.0,-9.8599999999999,2.0
2018-01-18,1293.32,65.0,-1.6800000000000637,-1.0
2018-01-19,1294.58,59.0,1.259999999999991,-6.0
2018-01-20,1294.58,64.0,0.0,5.0
2018-01-21,1294.58,66.0,0.0,2.0
2018-01-22,1327.31,66.0,32.73000000000002,0.0
2018-01-23,1362.54,64.0,35.23000000000002,-2.0
2018-01-24,1357.51,64.0,-5.029999999999973,0.0
2018-01-25,1377.95,60.0,20.440000000000055,-4.0
2018-01-26,1402.05,59.0,24.09999999999991,-1.0
2018-01-27,1402.05,59.0,0.0,0.0
2018-01-28,1402.05,64.0,0.0,5.0
2018-01-29,1417.68,63.0,15.63000000000011,-1.0
2018-01-30,1437.82,61.0,20.139999999999873,-2.0
2018-01-31,1450.89,62.0,13.070000000000164,1.0
2018-02-01,1390.0,60.0,-60.8900000000001,-2.0
2018-02-02,1429.95,60.0,39.950000000000045,0.0
2018-02-03,1429.95,62.0,0.0,2.0
2018-02-04,1429.95,67.0,0.0,5.0
2018-02-05,1390.0,64.0,-39.950000000000045,-3.0
2018-02-06,1442.84,64.0,52.83999999999992,0.0
2018-02-07,1416.78,61.0,-26.059999999999945,-3.0
2018-02-08,1350.5,57.0,-66.27999999999997,-4.0
2018-02-09,1339.6,54.0,-10.900000000000091,-3.0
2018-02-10,1339.6,57.0,0.0,3.0
2018-02-11,1339.6,63.0,0.0,6.0
2018-02-12,1386.23,63.0,46.63000000000011,0.0
2018-02-13,1414.51,61.0,28.279999999999973,-2.0
2018-02-14,1451.05,53.0,36.539999999999964,-8.0
2018-02-15,1461.76,54.0,10.710000000000036,1.0
2018-02-16,1448.69,52.0,-13.069999999999936,-2.0
2018-02-17,1448.69,54.0,0.0,2.0
2018-02-18,1448.69,58.0,0.0,4.0
2018-02-19,1448.69,56.0,0.0,-2.0
2018-02-20,1468.35,56.0,19.659999999999854,0.0
2018-02-21,1482.92,56.0,14.570000000000164,0.0
2018-02-22,1485.34,54.0,2.4199999999998454,-2.0
2018-02-23,1500.0,52.0,14.660000000000082,-2.0
2018-02-24,1500.0,52.0,0.0,0.0
2018-02-25,1500.0,58.0,0.0,6.0
2018-02-26,1521.95,56.0,21.950000000000045,-2.0
2018-02-27,1511.98,54.0,-9.970000000000027,-2.0
2018-02-28,1512.45,58.0,0.4700000000000273,4.0
2018-03-01,1493.45,56.0,-19.0,-2.0
2018-03-02,1500.25,54.0,6.7999999999999545,-2.0
2018-03-03,1500.25,56.0,0.0,2.0
2018-03-04,1500.25,62.0,0.0,6.0
2018-03-05,1523.61,59.0,23.3599999999999,-3.0
2018-03-06,1537.64,57.0,14.0300000000002,-2.0
2018-03-07,1545.0,56.0,7.3599999999999,-1.0
2018-03-08,1551.86,54.0,6.8599999999999,-2.0
2018-03-09,1578.89,53.0,27.0300000000002,-1.0
2018-03-10,1578.89,55.0,0.0,2.0
2018-03-11,1578.89,57.0,0.0,2.0
2018-03-12,1598.39,57.0,19.5,0.0
2018-03-13,1588.18,57.0,-10.210000000000036,0.0
2018-03-14,1591.0,55.0,2.8199999999999363,-2.0
2018-03-15,1582.32,54.0,-8.680000000000064,-1.0
2018-03-16,1571.68,50.0,-10.639999999999873,-4.0
2018-03-17,1571.68,55.0,0.0,5.0
2018-03-18,1571.68,56.0,0.0,1.0
2018-03-19,1544.93,58.0,-26.75,2.0
2018-03-20,1586.51,58.0,41.57999999999993,0.0
2018-03-21,1581.86,59.0,-4.650000000000091,1.0
2018-03-22,1544.92,54.0,-36.93999999999983,-5.0
2018-03-23,1495.56,52.0,-49.36000000000013,-2.0
2018-03-24,1495.56,57.0,0.0,5.0
2018-03-25,1495.56,56.0,0.0,-1.0
2018-03-26,1555.86,54.0,60.299999999999955,-2.0
2018-03-27,1497.05,51.0,-58.809999999999945,-3.0
2018-03-28,1431.42,48.0,-65.62999999999988,-3.0
2018-03-29,1447.34,48.0,15.919999999999845,0.0
2018-03-30,1447.34,50.0,0.0,2.0
2018-03-31,1447.34,50.0,0.0,0.0
2018-04-01,1447.34,54.0,0.0,4.0
2018-04-02,1371.99,62.0,-75.34999999999991,8.0
2018-04-03,1392.05,58.0,20.059999999999945,-4.0
2018-04-04,1410.57,57.0,18.519999999999982,-1.0
2018-04-05,1451.75,56.0,41.180000000000064,-1.0
2018-04-06,1405.23,53.0,-46.51999999999998,-3.0
2018-04-07,1405.23,57.0,0.0,4.0
2018-04-08,1405.23,58.0,0.0,1.0
2018-04-09,1406.08,59.0,0.849999999999909,1.0
2018-04-10,1436.22,57.0,30.1400000000001,-2.0
2018-04-11,1427.05,53.0,-9.170000000000073,-4.0
2018-04-12,1448.5,54.0,21.450000000000045,1.0
2018-04-13,1430.79,50.0,-17.710000000000036,-4.0
2018-04-14,1430.79,52.0,0.0,2.0
2018-04-15,1430.79,56.0,0.0,4.0
2018-04-16,1441.5,56.0,10.710000000000036,0.0
2018-04-17,1503.83,59.0,62.32999999999993,3.0
2018-04-18,1527.84,56.0,24.00999999999999,-3.0
2018-04-19,1556.91,55.0,29.070000000000164,-1.0
2018-04-20,1527.49,52.0,-29.420000000000073,-3.0
2018-04-21,1527.49,56.0,0.0,4.0
2018-04-22,1527.49,59.0,0.0,3.0
2018-04-23,1517.86,60.0,-9.63000000000011,1.0
2018-04-24,1460.09,61.0,-57.76999999999998,1.0
2018-04-25,1460.17,54.0,0.08000000000015461,-7.0
2018-04-26,1517.96,53.0,57.789999999999964,-1.0
2018-04-27,1572.62,49.0,54.659999999999854,-4.0
2018-04-28,1572.62,51.0,0.0,2.0
2018-04-29,1572.62,56.0,0.0,5.0
2018-04-30,1566.13,56.0,-6.489999999999782,0.0
2018-05-01,1582.26,59.0,16.12999999999988,3.0
2018-05-02,1569.68,55.0,-12.579999999999927,-4.0
2018-05-03,1572.08,55.0,2.3999999999998636,0.0
2018-05-04,1580.95,51.0,8.870000000000118,-4.0
2018-05-05,1580.95,51.0,0.0,0.0
2018-05-06,1580.95,54.0,0.0,3.0
2018-05-07,1600.14,54.0,19.190000000000055,0.0
2018-05-08,1592.39,55.0,-7.75,1.0
2018-05-09,1608.0,55.0,15.6099999999999,0.0
2018-05-10,1609.08,53.0,1.0799999999999272,-2.0
2018-05-11,1602.91,48.0,-6.169999999999845,-5.0
2018-05-12,1602.91,45.0,0.0,-3.0
2018-05-13,1602.91,51.0,0.0,6.0
